"Reference","Value","Footprint","QUANTITY"
"BZ1","Buzzer","footprints:SPKR_PKM22EPPH4001-B0","1"
"C1,C3,C5,C7,C8","100nF","Capacitor_SMD:C_1206_3216Metric","5"
"C2,C6","4.7uF","Capacitor_SMD:C_1206_3216Metric","2"
"C4","2.2uF","Capacitor_SMD:C_1206_3216Metric","1"
"C9-C11","1uF","Capacitor_SMD:C_1206_3216Metric","3"
"D2","LED_PWR","LED_SMD:LED_0805_2012Metric","1"
"D3","LED_ERR","LED_SMD:LED_0805_2012Metric","1"
"J1","Conn_02x12_Top_Bottom","footprints:CONN-TH_MOLEX_02X12","1"
"J2","Conn_02x02_Top_Bottom","footprints:CONN-TH_MOLEX_02X02","1"
"J3,J6,J14","Screw_Terminal_01x04","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-04_1x04_P5.08mm_Horizontal","3"
"J4,J5,J8-J13","Screw_Terminal_01x02","TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal","8"
"Q5,Q6","Q_NMOS_DGS","Package_SO:SOP-8_3.76x4.96mm_P1.27mm","2"
"R1-R6,R14-R17","10K","Resistor_SMD:R_0805_2012Metric,Resistor_SMD:R_1206_3216Metric","10"
"R8,R27","100","Resistor_SMD:R_0805_2012Metric","2"
"R9","10mΩ","Resistor_SMD:R_1206_3216Metric","1"
"R10","8mΩ","Resistor_SMD:R_1206_3216Metric","1"
"R11,R12","470","Resistor_SMD:R_0805_2012Metric","2"
"R13","5mΩ","Resistor_SMD:R_1206_3216Metric","1"
"R21-R26","10","Resistor_SMD:R_1206_3216Metric","6"
"SW1","SW_SPST","Button_Switch_SMD:SW_SPST_EVQQ2","1"
"U1","STM32F401CCUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1"
"U2","INA3221","Package_DFN_QFN:Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm","1"
